1,12.1563,3.3541,2,0.0933333
2,13.0188,5.13058,3,0.0866667
3,11.9809,4.65046,3,0.0733333
4,10.9182,5.01393,2,0.06
5,11.9093,5.48407,2,0.04
6,12.2023,5.40271,4,0.0733333
7,11.6397,5.53471,4,0.0933333
8,12.0784,5.25369,2,0.04
9,12.9919,6.16224,2,0.06
10,14.4409,5.95162,2,0.0466667
11,12.1738,5.59606,2,0.0866667
12,12.5437,5.69421,1,0.0133333
13,12.6187,5.65878,3,0.0933333
14,11.5347,5.52261,2,0.0333333
15,11.8514,5.88973,2,0.106667
16,14.0634,5.90863,3,0.166667
17,13.2016,6.58473,2,0.0666667
18,14.6467,6.17938,3,0.0866667
19,13.8402,6.73132,5,0.166667
20,13.3131,5.91757,2,0.04
21,12.002,6.25997,3,0.0666667
22,18.8325,6.30182,4,0.106667
23,15.9378,7.10046,4,0.113333
24,16.2889,7.41763,3,0.126667
25,16.8661,6.94945,4,0.186667
26,14.8197,7.76727,3,0.12
27,15.8384,7.81053,2,0.1
28,15.4395,7.12481,3,0.253333
29,15.2503,7.67761,4,0.333333
30,15.6185,8.0057,4,0.306667
31,15.9662,7.46227,4,0.166667
32,15.8433,7.60106,3,0.213333
33,14.2832,7.67243,3,0.353333
34,16.1458,7.62856,3,0.26
35,14.5851,7.69727,3,0.233333
36,17.344,8.22991,5,0.24
37,17.221,8.46481,3,0.206667
38,16.2708,7.32684,5,0.473333
39,15.3998,7.63161,3,0.153333
40,15.7327,9.1351,3,0.1
41,15.779,8.16388,3,0.133333
42,16.289,8.82075,3,0.36
43,17.8829,7.7985,3,0.26
44,13.4018,7.5851,2,0.08
45,16.8615,8.82023,4,0.246667
46,17.2909,8.17025,3,0.333333
47,16.8858,7.96814,4,0.36
48,15.6725,7.96329,5,0.413333
49,15.0998,7.88326,3,0.233333
50,14.5868,7.37163,3,0.226667
51,15.4217,7.75902,3,0.32
52,17.7823,7.83706,3,0.34
53,18.8305,8.40878,5,1.3
54,18.4898,9.48394,4,1.3
55,17.7127,8.54095,5,1.00667
56,15.1521,7.64982,4,0.546667
57,18.2295,8.62276,5,0.686667
58,15.6101,7.5117,2,0.233333
59,16.4767,8.26686,2,0.346667
60,15.9984,8.4827,4,0.533333
61,17.0017,8.40256,5,0.526667
62,16.4486,8.05089,3,0.393333
63,17.5343,8.23273,4,0.52
64,17.7299,9.30479,5,0.84
65,17.1888,7.7146,3,0.406667
66,18.293,8.68493,4,0.686667
67,15.9047,8.16496,3,0.166667
68,17.7776,9.20531,4,0.72
69,18.0068,9.81829,4,0.746667
70,17.4295,9.67179,4,0.886667
71,18.1169,9.06834,4,0.726667
72,17.0465,8.8637,3,0.733333
73,17.5185,9.20124,3,0.546667
74,18.9097,10.7217,4,1.22667
75,19.4838,10.5898,5,0.9
76,14.5193,8.44486,2,0.126667
77,15.7962,8.84621,3,0.286667
78,15.2054,8.66862,2,0.266667
79,14.7251,8.50921,4,0.22
80,16.5512,9.49218,3,0.22
81,15.1248,8.82888,3,0.32
82,16.1592,9.28696,2,0.24
83,18.3434,9.41985,4,0.6
84,15.2991,7.7395,4,0.453333
85,13.6425,8.66689,3,0.3
86,17.8281,9.89175,4,0.893333
87,18.5312,9.76084,4,0.7
88,16.061,9.45261,3,0.166667
89,16.4485,9.64428,3,0.653333
90,18.8695,9.34825,4,0.826667
91,18.9824,9.73695,4,0.78
92,19.0124,10.0436,5,1.00667
93,18.3697,9.43253,4,0.78
94,15.7633,9.8109,2,0.633333
95,18.0341,9.71969,4,0.813333
96,14.8115,8.93562,3,0.313333
97,15.4061,8.99809,3,0.5
98,17.0402,8.73276,4,0.306667
99,17.2719,7.0782,4,0.24
100,17.2849,8.64062,3,0.446667
101,17.2018,8.25834,3,0.26
102,17.6556,8.76823,4,0.36
103,18.0108,8.07818,4,0.46
104,15.6542,7.94353,2,0.273333
