1,0.10822,0.0035399,7,0.193333,0.0715619,1.18488
2,0.232528,0.00743294,7,0.22,0.0666394,1.24439
3,0.255666,0.0106549,8,0.346667,0.0733901,1.35832
4,0.190841,0.0097768,7,0.313333,0.0684781,1.11428
5,0.190432,0.00768818,5,0.193333,0.0696036,0.941179
6,0.362767,0.0123744,4,0.353333,0.063871,0.859506
7,0.164891,0.00835846,6,0.253333,0.0669374,1.15032
8,0.199147,0.0116623,9,0.473333,0.0708078,0.948463
9,0.334647,0.00527172,5,0.313333,0.0669547,1.19219
10,0.205491,0.00718855,4,0.386667,0.067418,1.25844
11,0.283332,0.011586,7,0.646667,0.0714428,1.30119
12,0.186177,0.013728,6,0.52,0.0642681,1.43092
13,0.342147,0.0102224,7,0.78,0.0673264,1.3805
14,0.184298,0.0111617,6,0.546667,0.0625535,1.45639
15,0.22839,0.0237419,6,1.17333,0.066084,2.06034
16,0.31056,0.0222416,6,1.38667,0.0681928,2.32273
17,0.198879,0.0311221,10,1.40667,0.0674213,2.37638
18,0.255691,0.044012,9,1.42667,0.0775946,1.82132
19,0.397674,0.0471651,9,2.28667,0.071401,2.20287
20,0.282939,0.0562921,9,2.41333,0.0711578,2.33513
21,0.37133,0.0427181,7,1.34,0.0647327,1.63904
22,0.399118,0.0482235,9,1.6,0.0691154,1.70962
23,0.52053,0.0718636,9,2.25333,0.0662868,2.01181
24,0.375853,0.068676,7,2.11333,0.0650433,2.20642
25,0.378048,0.0584429,8,2.04,0.0663955,2.08031
26,0.565491,0.0637511,9,2.09333,0.0656074,2.20625
27,0.554942,0.0409726,10,1.82,0.0652936,2.07279
28,0.266003,0.0393997,6,1.44,0.0656429,2.46914
29,0.326166,0.0438991,7,2.02667,0.0641101,2.39638
30,0.456312,0.0632348,9,3.08,0.0677921,2.09235
31,0.416681,0.0600996,10,2.3,0.0684515,1.81753
32,0.59655,0.0730915,9,2.57333,0.0649075,2.10016
33,0.297538,0.0491928,7,2.15333,0.0685083,2.09741
34,0.457409,0.10312,9,2.98667,0.0699168,2.11731
35,0.5405,0.0548142,7,2.04667,0.0691654,2.19676
36,0.330706,0.034764,7,1.76667,0.0674801,2.55891
37,0.571392,0.0739864,9,2.79333,0.158911,3.20263
38,0.472758,0.0747019,9,2.83333,0.0691787,2.58637
39,0.579965,0.0999793,9,2.95333,0.0770711,2.78077
40,0.532891,0.0842263,9,2.30667,0.0698185,2.6097
41,0.59819,0.110963,8,2.64,0.0664077,2.50288
42,0.441188,0.095217,8,2.4,0.0665205,3.12937
43,0.598147,0.103588,9,2.6,0.0691228,2.56028
44,0.632726,0.113348,9,2.84667,0.0697329,2.52471
45,0.435309,0.103575,7,2.53333,0.0698951,3.08824
46,0.52852,0.103644,8,2.50667,0.0647525,3.0148
47,0.386052,0.0498912,8,1.58667,0.0698336,3.14586
48,0.535844,0.0811745,8,2.37333,0.0723322,3.26251
